iter	Passed	Remaining
0	2	264
1	4	242
2	7	230
3	8	213
4	11	211
5	13	210
6	15	208
7	17	206
8	20	203
9	22	201
10	24	198
11	26	196
12	28	193
13	31	191
14	33	189
15	35	186
16	37	184
17	40	182
18	42	180
19	44	178
20	46	176
21	48	173
22	51	171
23	53	168
24	55	166
25	57	164
26	59	161
27	62	159
28	64	157
29	66	155
30	68	152
31	70	150
32	73	148
33	75	146
34	77	143
35	79	141
36	81	139
37	84	137
38	86	134
39	88	132
40	90	130
41	91	126
42	93	123
43	95	121
44	98	119
45	101	118
46	103	117
47	106	115
48	109	113
49	112	112
50	114	109
51	116	107
52	118	105
53	120	102
54	122	99
55	124	97
56	126	95
57	129	93
58	132	91
59	134	89
60	137	87
61	139	85
62	141	83
63	143	80
64	145	78
65	148	76
66	150	74
67	152	71
68	155	69
69	157	67
70	159	65
71	161	62
72	163	60
73	165	58
74	168	56
75	170	53
76	172	51
77	174	49
78	176	46
79	178	44
80	181	42
81	183	40
82	185	37
83	187	35
84	189	33
85	191	31
86	194	29
87	196	26
88	198	24
89	200	22
90	203	20
91	205	17
92	207	15
93	209	13
94	211	11
95	213	8
96	216	6
97	218	4
98	220	2
99	222	0
