iter	Passed	Remaining
0	1373	1371855
1	1405	701504
2	1411	469130
3	1414	352267
4	1417	282012
5	1419	235162
6	1421	201695
7	1425	176739
8	1428	157242
9	1430	141601
10	1432	128809
11	1434	118146
12	1437	109132
13	1440	101485
14	1443	94799
15	1445	88923
16	1448	83748
17	1450	79148
18	1454	75111
19	1458	71454
20	1460	68100
21	1463	65049
22	1473	62591
23	1475	60022
24	1478	57646
25	1480	55465
26	1486	53554
27	1488	51676
28	1491	49924
29	1493	48302
30	1502	46973
31	1507	45603
32	1510	44268
33	1516	43080
34	1518	41875
35	1523	40784
36	1525	39715
37	1529	38729
38	1534	37809
39	1537	36898
40	1544	36135
41	1553	35429
42	1558	34687
43	1593	34616
44	1596	33886
45	1602	33226
46	1606	32564
47	1616	32057
48	1620	31446
49	1628	30932
50	1638	30481
51	1645	29997
52	1649	29465
53	1652	28954
54	1659	28507
55	1662	28016
56	1664	27542
57	1667	27084
58	1680	26799
59	1683	26367
60	1686	25957
61	1692	25613
62	1697	25239
63	1703	24915
64	1707	24565
65	1712	24231
66	1715	23890
67	1719	23560
68	1723	23260
69	1726	22941
70	1729	22626
71	1733	22340
72	1737	22058
73	1739	21767
74	1742	21496
75	1745	21220
76	1748	20961
77	1753	20722
78	1755	20470
79	1759	20235
80	1762	19993
81	1766	19776
82	1768	19540
83	1771	19320
84	1774	19104
85	1779	18917
86	1784	18721
87	1788	18536
88	1791	18336
89	1796	18159
90	1800	17986
91	1803	17804
92	1806	17616
93	1809	17438
94	1814	17284
95	1817	17112
96	1822	16963
97	1829	16837
98	1835	16700
99	1842	16581
100	1845	16427
101	1848	16273
102	1851	16120
103	1853	15969
104	1858	15839
105	1861	15697
106	1864	15563
107	1867	15423
108	1870	15291
109	1874	15166
110	1876	15032
111	1879	14902
112	1882	14773
113	1885	14653
114	1889	14538
115	1891	14418
116	1894	14294
117	1896	14178
118	1902	14084
119	1905	13971
120	1907	13858
121	1909	13743
122	1912	13634
123	1919	13556
124	1921	13453
125	1924	13348
126	1926	13241
127	1929	13141
128	1933	13055
129	1936	12959
130	1939	12863
131	1941	12767
132	1943	12672
